Date,Infected,Recovered,Dead,Sick
27.02.20,20,,,20
28.02.20,37,,,37
29.02.20,60,,,60
01.03.20,68,,,68
02.03.20,79,,,79
03.03.20,84,,,84
04.03.20,84,,,84
05.03.20,195,,,195
06.03.20,220,,,220
07.03.20,220,,,220
08.03.20,220,,,220
09.03.20,220,,1,219
10.03.20,365,,,365
11.03.20,443,,,443
12.03.20,443,,2,441
13.03.20,553,,,553
14.03.20,553,,4,549
15.03.20,663,,,663
16.03.20,663,,,663
17.03.20,755,,,755
18.03.20,811,25,,786
19.03.20,890,71,9,810
20.03.20,916,84,13,819
21.03.20,916,84,13,819
22.03.20,916,84,13,819
23.03.20,1011,219,24,768
24.03.20,1011,219,24,768
25.03.20,1067,324,26,717
26.03.20,1153,360,28,765
27.03.20,1153,360,28,765
28.03.20,1153,360,28,765
29.03.20,1153,360,28,765
30.03.20,1281,554,34,693
31.03.20,1307,609,37,661
01.04.20,1373,659,38,676
02.04.20,1417,693,39,685
03.04.20,1436,768,42,626
04.04.20,1436,768,42,626
05.04.20,1436,768,42,626
06.04.20,1474,845,46,583
07.04.20,1495,919,47,529
08.04.20,1527,969,48,510
09.04.20,1537,974,48,515
10.04.20,1537,974,48,515
11.04.20,1573,1041,51,481
12.04.20,1573,1041,51,481
13.04.20,1573,1041,51,481
14.04.20,1584,1129,52,403
15.04.20,1610,1174,55,381
16.04.20,1620,1225,55,340
17.04.20,1635,1230,55,350
18.04.20,1635,1230,55,350
19.04.20,1635,1230,55,350
20.04.20,1698,1296,59,343
21.04.20,1707,1341,62,304
22.04.20,1711,1374,62,275
23.04.20,1718,1401,62,255
24.04.20,1718,1407,64,247
25.04.20,1718,1407,64,247
26.04.20,1718,1407,64,247
27.04.20,1739,1443,66,230
28.04.20,1742,1476,66,200
29.04.20,1743,1482,66,195
30.04.20,1752,1549,66,137
01.05.20,1752,1549,66,137
02.05.20,1752,1549,66,137
03.05.20,1752,1549,66,137
04.05.20,1762,1567,68,127
05.05.20,1765,1572,69,124
06.05.20,1776,1587,71,118
07.05.20,,,,0
08.05.20,,,,0
09.05.20,,,,0
10.05.20,,,,0
11.05.20,,,,0
12.05.20,,,,0
13.05.20,,,,0
14.05.20,,,,0
15.05.20,,,,0
16.05.20,,,,0
17.05.20,,,,0
18.05.20,,,,0
19.05.20,,,,0
20.05.20,,,,0
21.05.20,,,,0
22.05.20,,,,0
23.05.20,,,,0
24.05.20,,,,0
25.05.20,,,,0
26.05.20,,,,0
27.05.20,,,,0
28.05.20,,,,0
29.05.20,,,,0
30.05.20,,,,0
31.05.20,,,,0
01.06.20,,,,0
02.06.20,,,,0
03.06.20,,,,0
04.06.20,,,,0
05.06.20,,,,0
06.06.20,,,,0
07.06.20,,,,0
08.06.20,,,,0
09.06.20,,,,0
10.06.20,,,,0
11.06.20,,,,0
12.06.20,,,,0
13.06.20,,,,0
14.06.20,,,,0
15.06.20,,,,0
16.06.20,,,,0
17.06.20,,,,0
18.06.20,,,,0
19.06.20,,,,0
20.06.20,,,,0
21.06.20,,,,0
22.06.20,,,,0
23.06.20,,,,0
24.06.20,,,,0
25.06.20,,,,0
26.06.20,,,,0
27.06.20,,,,0
28.06.20,,,,0
29.06.20,,,,0
30.06.20,,,,0
01.07.20,,,,0
02.07.20,,,,0
03.07.20,,,,0
04.07.20,,,,0
05.07.20,,,,0
06.07.20,,,,0
07.07.20,,,,0
08.07.20,,,,0
09.07.20,,,,0
10.07.20,,,,0
11.07.20,,,,0
12.07.20,,,,0
13.07.20,,,,0
14.07.20,,,,0
15.07.20,,,,0
16.07.20,,,,0
17.07.20,,,,0
18.07.20,,,,0
19.07.20,,,,0
20.07.20,,,,0
21.07.20,,,,0
22.07.20,,,,0
23.07.20,,,,0
24.07.20,,,,0
25.07.20,,,,0
26.07.20,,,,0
27.07.20,,,,0
28.07.20,,,,0
29.07.20,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
