,Age distribution: men,Age distribution: women
0,0.009865143967926133,0.00914496908242318
1,0.009938039120398494,0.009239735601412022
2,0.009938039120398494,0.009263427231159232
3,0.009938039120398494,0.009263427231159232
4,0.010035232657028308,0.009381885379895283
5,0.009743652047138866,0.009026510933687129
6,0.009597861742194144,0.008908052784951076
7,0.009257684363989795,0.008576369968490132
8,0.00923338597983234,0.008528986708995712
9,0.009014700522415259,0.00836314530076524
10,0.00923338597983234,0.008552678338742922
11,0.009111894059045073,0.00841052856025966
12,0.009330579516462155,0.008647444857731763
13,0.009281982748147248,0.008576369968490132
14,0.009136192443202526,0.00838683693051245
15,0.00923338597983234,0.008528986708995712
16,0.009452071437249424,0.008718519746973394
17,0.00950066820556433,0.008742211376720604
18,0.009743652047138866,0.008931744414698286
19,0.010132426193658122,0.009263427231159232
20,0.010812780950066821,0.009855717974839489
21,0.011274450249058437,0.010021559383069962
22,0.011687522779735147,0.010471700348266957
23,0.01231928076782894,0.010992916202705583
24,0.012246385615356578,0.010969224572958373
25,0.01205199854209695,0.01075599990523348
26,0.012246385615356578,0.010921841313463953
27,0.012586562993560929,0.011300907389419319
28,0.012756651682663102,0.011490440427397
29,0.013169724213339814,0.011893198133099575
30,0.014360345037055036,0.012935629841976829
31,0.014093062811323047,0.012817171693240778
32,0.014408941805369942,0.01305408799071288
33,0.014068764427165594,0.012793480063493567
34,0.013728587048961243,0.012627638655263096
35,0.013266917749969628,0.012272264209054942
36,0.013145425829182359,0.01220118931981331
37,0.013121127445024906,0.012272264209054942
38,0.013315514518284534,0.012509180506527044
39,0.013121127445024906,0.012485488876779834
40,0.013145425829182359,0.012556563766021465
41,0.012489369456931115,0.011940581392593996
42,0.012294982383671486,0.011774739984363524
43,0.012173490462884217,0.011632590205880262
44,0.01190620823715223,0.01144305716790258
45,0.011614627627262787,0.011111374351441636
46,0.011687522779735147,0.011300907389419319
47,0.011736119548050055,0.01137198227866095
48,0.012708054914348196,0.012248572579307731
49,0.013947272506378327,0.013409462436921036
50,0.014433240189527397,0.013883295031865242
51,0.015502369092455351,0.014830960221753654
52,0.01618272384886405,0.015494325854675544
53,0.016547199611225853,0.015897083560378118
54,0.01693597375774511,0.016276149636333483
55,0.016960272141902565,0.016276149636333483
56,0.017154659215162193,0.016560449193300006
57,0.016911675373587655,0.016394607785069536
58,0.016255619001336413,0.01587339193063091
59,0.015866844854817156,0.015660167262906016
60,0.015235086866723363,0.015091568148972967
61,0.014700522415259385,0.014641427183775972
62,0.013777183817276151,0.0137885285128764
63,0.013315514518284534,0.013433154066668247
64,0.01280524845097801,0.01305408799071288
65,0.012222087231199125,0.012675021914757516
66,0.011760417932207508,0.012461797247032624
67,0.011201555096586078,0.012059039541330047
68,0.011055764791641356,0.011987964652088417
69,0.010691289029279552,0.011679973465374683
70,0.010545498724334832,0.011585206946385842
71,0.010083829425343215,0.011087682721694426
72,0.00908759567488762,0.010021559383069962
73,0.008358644150164013,0.009381885379895283
74,0.0071194265581338845,0.008102537373545927
75,0.006050297655205929,0.007131180553910304
76,0.007945571619487304,0.009381885379895283
77,0.007872676467014943,0.009381885379895283
78,0.007386708783865873,0.008931744414698286
79,0.008553031223423642,0.01070861664573906
80,0.008553031223423642,0.011040299462200004
81,0.007945571619487304,0.010566466867255798
82,0.006925039484874256,0.009429268639389704
83,0.005977402502733568,0.00841052856025966
84,0.005248450978009962,0.007699779667843351
85,0.00454379783744381,0.006965339145679831
86,0.00371765277609039,0.005946599066549788
87,0.0025999271048475275,0.004359259873486697
88,0.0021868545741708175,0.003932810538036911
89,0.0018709755801239218,0.003530052832334336
90,0.001603693354391933,0.0032694449051150227
91,0.00123921759203013,0.0027008457911819753
92,0.0009719353662981412,0.0022033215664905587
93,0.0006560563722512453,0.0017057973417991424
94,0.00046166929899161706,0.0013504228955909876
95,0.00031587899404689586,0.0010424317088772537
96,0.00019438707325962823,0.0007344405221635196
97,0.00012149192078726765,0.0005212158544386268
98,7.289515247236058e-05,0.000379066075955365
99,4.859676831490706e-05,0.0002606079272193134
