Hours,probability
1,4.16667E-06
2,4.16667E-06
3,4.16667E-06
4,4.16667E-06
5,4.16667E-06
6,4.16667E-06
7,4.16667E-06
8,4.16667E-06
9,4.16667E-06
10,4.16667E-06
11,4.16667E-06
12,4.16667E-06
13,4.16667E-06
14,4.16667E-06
15,4.16667E-06
16,4.16667E-06
17,4.16667E-06
18,4.16667E-06
19,4.16667E-06
20,4.16667E-06
21,4.16667E-06
22,4.16667E-06
23,4.16667E-06
24,4.16667E-06
25,2.08333E-05
26,2.08333E-05
27,2.08333E-05
28,2.08333E-05
29,2.08333E-05
30,2.08333E-05
31,2.08333E-05
32,2.08333E-05
33,2.08333E-05
34,2.08333E-05
35,2.08333E-05
36,2.08333E-05
37,2.08333E-05
38,2.08333E-05
39,2.08333E-05
40,2.08333E-05
41,2.08333E-05
42,2.08333E-05
43,2.08333E-05
44,2.08333E-05
45,2.08333E-05
46,2.08333E-05
47,2.08333E-05
48,2.08333E-05
49,4.16667E-05
50,4.16667E-05
51,4.16667E-05
52,4.16667E-05
53,4.16667E-05
54,4.16667E-05
55,4.16667E-05
56,4.16667E-05
57,4.16667E-05
58,4.16667E-05
59,4.16667E-05
60,4.16667E-05
61,4.16667E-05
62,4.16667E-05
63,4.16667E-05
64,4.16667E-05
65,4.16667E-05
66,4.16667E-05
67,4.16667E-05
68,4.16667E-05
69,4.16667E-05
70,4.16667E-05
71,4.16667E-05
72,4.16667E-05
73,8.33333E-05
74,8.33333E-05
75,8.33333E-05
76,8.33333E-05
77,8.33333E-05
78,8.33333E-05
79,8.33333E-05
80,8.33333E-05
81,8.33333E-05
82,8.33333E-05
83,8.33333E-05
84,8.33333E-05
85,8.33333E-05
86,8.33333E-05
87,8.33333E-05
88,8.33333E-05
89,8.33333E-05
90,8.33333E-05
91,8.33333E-05
92,8.33333E-05
93,8.33333E-05
94,8.33333E-05
95,8.33333E-05
96,8.33333E-05
97,0.000125
98,0.000125
99,0.000125
100,0.000125
101,0.000125
102,0.000125
103,0.000125
104,0.000125
105,0.000125
106,0.000125
107,0.000125
108,0.000125
109,0.000125
110,0.000125
111,0.000125
112,0.000125
113,0.000125
114,0.000125
115,0.000125
116,0.000125
117,0.000125
118,0.000125
119,0.000125
120,0.000125
121,0.00025
122,0.00025
123,0.00025
124,0.00025
125,0.00025
126,0.00025
127,0.00025
128,0.00025
129,0.00025
130,0.00025
131,0.00025
132,0.00025
133,0.00025
134,0.00025
135,0.00025
136,0.00025
137,0.00025
138,0.00025
139,0.00025
140,0.00025
141,0.00025
142,0.00025
143,0.00025
144,0.00025
145,0.000416667
146,0.000416667
147,0.000416667
148,0.000416667
149,0.000416667
150,0.000416667
151,0.000416667
152,0.000416667
153,0.000416667
154,0.000416667
155,0.000416667
156,0.000416667
157,0.000416667
158,0.000416667
159,0.000416667
160,0.000416667
161,0.000416667
162,0.000416667
163,0.000416667
164,0.000416667
165,0.000416667
166,0.000416667
167,0.000416667
168,0.000416667
169,0.000833333
170,0.000833333
171,0.000833333
172,0.000833333
173,0.000833333
174,0.000833333
175,0.000833333
176,0.000833333
177,0.000833333
178,0.000833333
179,0.000833333
180,0.000833333
181,0.000833333
182,0.000833333
183,0.000833333
184,0.000833333
185,0.000833333
186,0.000833333
187,0.000833333
188,0.000833333
189,0.000833333
190,0.000833333
191,0.000833333
192,0.000833333
193,0.000833333
194,0.000833333
195,0.000833333
196,0.000833333
197,0.000833333
198,0.000833333
199,0.000833333
200,0.000833333
201,0.000833333
202,0.000833333
203,0.000833333
204,0.000833333
205,0.000833333
206,0.000833333
207,0.000833333
208,0.000833333
209,0.000833333
210,0.000833333
211,0.000833333
212,0.000833333
213,0.000833333
214,0.000833333
215,0.000833333
216,0.000833333
217,0.00125
218,0.00125
219,0.00125
220,0.00125
221,0.00125
222,0.00125
223,0.00125
224,0.00125
225,0.00125
226,0.00125
227,0.00125
228,0.00125
229,0.00125
230,0.00125
231,0.00125
232,0.00125
233,0.00125
234,0.00125
235,0.00125
236,0.00125
237,0.00125
238,0.00125
239,0.00125
240,0.00125
241,0.000833333
242,0.000833333
243,0.000833333
244,0.000833333
245,0.000833333
246,0.000833333
247,0.000833333
248,0.000833333
249,0.000833333
250,0.000833333
251,0.000833333
252,0.000833333
253,0.000833333
254,0.000833333
255,0.000833333
256,0.000833333
257,0.000833333
258,0.000833333
259,0.000833333
260,0.000833333
261,0.000833333
262,0.000833333
263,0.000833333
264,0.000833333
265,0.000416667
266,0.000416667
267,0.000416667
268,0.000416667
269,0.000416667
270,0.000416667
271,0.000416667
272,0.000416667
273,0.000416667
274,0.000416667
275,0.000416667
276,0.000416667
277,0.000416667
278,0.000416667
279,0.000416667
280,0.000416667
281,0.000416667
282,0.000416667
283,0.000416667
284,0.000416667
285,0.000416667
286,0.000416667
287,0.000416667
288,0.000416667
289,0.000416667
290,0.000416667
291,0.000416667
292,0.000416667
293,0.000416667
294,0.000416667
295,0.000416667
296,0.000416667
297,0.000416667
298,0.000416667
299,0.000416667
300,0.000416667
301,0.000416667
302,0.000416667
303,0.000416667
304,0.000416667
305,0.000416667
306,0.000416667
307,0.000416667
308,0.000416667
309,0.000416667
310,0.000416667
311,0.000416667
312,0.000416667
313,0.000416667
314,0.000416667
315,0.000416667
316,0.000416667
317,0.000416667
318,0.000416667
319,0.000416667
320,0.000416667
321,0.000416667
322,0.000416667
323,0.000416667
324,0.000416667
325,0.000416667
326,0.000416667
327,0.000416667
328,0.000416667
329,0.000416667
330,0.000416667
331,0.000416667
332,0.000416667
333,0.000416667
334,0.000416667
335,0.000416667
336,0.000416667
337,0.000308333
338,0.000308333
339,0.000308333
340,0.000308333
341,0.000308333
342,0.000308333
343,0.000308333
344,0.000308333
345,0.000308333
346,0.000308333
347,0.000308333
348,0.000308333
349,0.000308333
350,0.000308333
351,0.000308333
352,0.000308333
353,0.000308333
354,0.000308333
355,0.000308333
356,0.000308333
357,0.000308333
358,0.000308333
359,0.000308333
360,0.000308333
