Time-steps,Probability_to_infect
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0.1
26,0.1
27,0.1
28,0.1
29,0.1
30,0.1
31,0.1
32,0.1
33,0.1
34,0.1
35,0.1
36,0.1
37,0.1
38,0.1
39,0.1
40,0.1
41,0.1
42,0.1
43,0.1
44,0.1
45,0.1
46,0.1
47,0.1
48,0.1
49,0.25
50,0.25
51,0.25
52,0.25
53,0.25
54,0.25
55,0.25
56,0.25
57,0.25
58,0.25
59,0.25
60,0.25
61,0.25
62,0.25
63,0.25
64,0.25
65,0.25
66,0.25
67,0.25
68,0.25
69,0.25
70,0.25
71,0.25
72,0.25
73,0.23
74,0.23
75,0.23
76,0.23
77,0.23
78,0.23
79,0.23
80,0.23
81,0.23
82,0.23
83,0.23
84,0.23
85,0.23
86,0.23
87,0.23
88,0.23
89,0.23
90,0.23
91,0.23
92,0.23
93,0.23
94,0.23
95,0.23
96,0.23
97,0.17
98,0.17
99,0.17
100,0.17
101,0.17
102,0.17
103,0.17
104,0.17
105,0.17
106,0.17
107,0.17
108,0.17
109,0.17
110,0.17
111,0.17
112,0.17
113,0.17
114,0.17
115,0.17
116,0.17
117,0.17
118,0.17
119,0.17
120,0.17
121,0.11
122,0.11
123,0.11
124,0.11
125,0.11
126,0.11
127,0.11
128,0.11
129,0.11
130,0.11
131,0.11
132,0.11
133,0.11
134,0.11
135,0.11
136,0.11
137,0.11
138,0.11
139,0.11
140,0.11
141,0.11
142,0.11
143,0.11
144,0.11
145,0.06
146,0.06
147,0.06
148,0.06
149,0.06
150,0.06
151,0.06
152,0.06
153,0.06
154,0.06
155,0.06
156,0.06
157,0.06
158,0.06
159,0.06
160,0.06
161,0.06
162,0.06
163,0.06
164,0.06
165,0.06
166,0.06
167,0.06
168,0.06
169,0.04
170,0.04
171,0.04
172,0.04
173,0.04
174,0.04
175,0.04
176,0.04
177,0.04
178,0.04
179,0.04
180,0.04
181,0.04
182,0.04
183,0.04
184,0.04
185,0.04
186,0.04
187,0.04
188,0.04
189,0.04
190,0.04
191,0.04
192,0.04
193,0.02
194,0.02
195,0.02
196,0.02
197,0.02
198,0.02
199,0.02
200,0.02
201,0.02
202,0.02
203,0.02
204,0.02
205,0.02
206,0.02
207,0.02
208,0.02
209,0.02
210,0.02
211,0.02
212,0.02
213,0.02
214,0.02
215,0.02
216,0.02
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.01
228,0.01
229,0.01
230,0.01
231,0.01
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,0.01
240,0.01
